Date, Title, Artist, Complete
07.04.19, I follow you, Melody's Echo Chamber, Yes
07.04.19, Cross my heart, Melody's Echo Chamber, Yes
07.04.19, Cross my heart, Melody's Echo Chamber, Yes
07.04.19, T. On a White Horse, Eberhard Weber, Yes
07.04.19, Shirim, Melody's Echo Chamber, No
06.04.19, In the Wilderness, Gojira, Yes
06.04.19, Flying Whales, Gojira, Yes
06.04.19, The Heaviest Matter of the Universe, Gojira, Yes
06.04.19, Where Dragons Dwell, Gojira, Yes
06.04.19, Unicorn, Gojira, Yes
06.04.19, From the Sky, Gojira, Yes
06.04.19, Bakcbone, Gojira, Yes
06.04.19, Ocean Planet, Gojira, Yes
05.04.19, Garlands, Cocteau Twins, Yes
05.04.19, In Our Angelhood, Cocteau Twins, Yes
05.04.19, Strength of Strings, This Mortal Coil, No
04.04.19, Aisle of Plenty, Genesis, Yes
04.04.19, The Cinema Show, Genesis, Yes
04.04.19, Aisle of Plenty, Genesis, Yes
04.04.19, The Cinema Show, Genesis, Yes
04.04.19, After the Ordeal, Genesis, Yes
04.04.19, The Lamia, Genesis, Yes
04.04.19, Ivo, Cocteau Twins, Yes
04.04.19, Musette and Drums, Cocteau Twins, Yes
04.04.19, Piles of Little Arms, Morbid Angel, No
04.04.19, Inno a Satana, Emperor, Yes
04.04.19, World of Shit (The Promised Land), Morbid Angel, Yes
04.04.19, Concerto for Piano, Eberhard Weber, Yes
04.04.19, Seriously Deep, Eberhard Weber, Yes
04.04.19, Elder, Kamil Orman-Janowski, Yes
03.04.19, Elder, Kamil Orman-Janowski, Yes
03.04.19, Elder, Kamil Orman-Janowski, Yes
03.04.19, Elder, Kamil Orman-Janowski, Yes
03.04.19, Elder, Kamil Orman-Janowski, Yes
03.04.19, Memory Nexus, Kamil Orman-Janowski, Yes
03.04.19, Memory Nexus, Kamil Orman-Janowski, Yes
03.04.19, Memory Nexus, Kamil Orman-Janowski, Yes
16.03.19, Does Everyone Stare, The Police, No
16.03.19, Undertow, Genesis, No
16.03.19, Undertow, Genesis, Yes
16.03.19, Canary in a Coalmine, The Police, Yes
16.03.19, Antarctica Echoes, Vangelis, Yes
16.03.19, Création du monde, Vangelis, Yes
16.03.19, Skyrim Atmospheres, Jeremy Soule, Yes
16.03.19, Reve, Vangelis, Yes
28.02.19, The Weapon, Rush, No
28.02.19, Digital Man, Rush, Yes
28.02.19, The Box, Toto, No
28.02.19, Leto's Theme, Toto, Yes
28.02.19, Sorceress, Opeth, Yes
28.02.19, Persephone, Opeth, Yes
28.02.19, Seguir Viviendo Sin Tu Amor, Luis Alberto Spinetta, Yes